date,jugador,precio,posicionJugador,puntosJugador,equipoLiga,avgPoints,estado,variacion,jornada,detalles,equipo,ganancias,num_pujas
2025-10-29,A. ZAKHARYAN,0.205,3.0,7.0,16.0,1.8,0,,11,2.0,,,0
2025-10-29,F. UGRINIC,0.17,3.0,8.0,19.0,2.0,0,,11,2.0,,,0
2025-10-29,A. OSAMBELA,0.162,3.0,10.0,50.0,2.5,0,,11,2.0,,,0
2025-10-29,A. SAN MIGUEL,0.198,1.0,0.0,4.0,0.0,0,,11,2.0,,,0
2025-10-29,A. ITURBE,0.196,1.0,0.0,23.0,0.0,0,,11,2.0,,,0
2025-10-29,U. IZETA,0.169,4.0,5.0,1.0,1.7,0,,11,2.0,,,0
2025-10-29,P. CISS,8.26,3.0,40.0,14.0,4.0,0,,11,2.0,,,0
2025-10-29,T. ALMADA,6.749,3.0,26.0,2.0,5.2,0,,11,2.0,Maldinillo 💥,-6.77343,1
2025-10-29,A. BLANCO,5.131,3.0,37.0,48.0,4.1,0,,11,2.0,,,0
2025-10-29,T. ALEXANDER-ARNOLD,5.9,2.0,10.0,15.0,2.5,0,,11,2.0,Chamacónicos,-7.0,2
2025-10-29,K. SALAS,2.585,2.0,17.0,17.0,4.3,0,,11,2.0,,,0
2025-10-29,N. MARAŠ,0.16,2.0,0.0,48.0,0.0,0,,11,2.0,Dani,-0.16,0
2025-10-29,D. SORIA,6.065,1.0,41.0,9.0,4.1,0,,11,2.0,MuchaSalsa,-6.865,1
2025-10-29,L. JÚNIOR,4.227,1.0,29.0,20.0,4.1,0,,11,2.0,,,0
2025-10-29,D. CÁRDENAS,0.201,1.0,0.0,14.0,0.0,0,,11,2.0,,,0
2025-10-30,A. OSAMBELA,0.16,3.0,10.0,50.0,2.5,0,-0.002,11,1.0,,,0
2025-10-30,A. SILVA,7.491,4.0,47.0,23.0,5.2,0,0.139,11,1.0,Dani,-8.20886,1
2025-10-30,A. BOAYAR,0.16,4.0,1.0,23.0,1.0,0,,11,1.0,,,0
2025-10-30,Y. ASPRILLA,1.56,3.0,23.0,222.0,2.6,0,-0.048,11,1.0,,,0
2025-10-30,I. MUÑOZ,0.195,3.0,3.0,50.0,1.5,0,0.035,11,1.0,,,0
2025-10-30,F. UGRINIC,0.187,3.0,8.0,19.0,2.0,0,0.017,11,1.0,,,0
2025-10-30,L. KOUROUMA,0.167,3.0,2.0,222.0,0.7,0,-0.038,11,1.0,,,0
2025-10-30,I. AKHOMACH,0.16,3.0,12.0,20.0,2.4,0,-0.001,11,1.0,,,0
2025-10-30,P. CUBARSI,10.721,2.0,31.0,3.0,4.4,0,0.025,11,1.0,,,0
2025-10-30,P. NAVARRO,0.21,2.0,7.0,20.0,3.5,0,0.028,11,1.0,Libre,-0.21,1
2025-10-30,I. BALLIU,0.188,2.0,10.0,14.0,3.3,0,-0.002,11,1.0,,,0
2025-10-30,J. GALÁN,0.169,2.0,12.0,2.0,2.4,0,-0.077,11,1.0,De la Guettir FC,-0.3895,1
2025-10-31,F. UGRINIC,0.16,3.0,8.0,19.0,2.0,1,-0.027,11,0.5,,,0
2025-10-31,P. NAVARRO,0.181,2.0,7.0,20.0,3.5,0,-0.029,11,0.5,,,0
2025-10-31,K. GARCÍA,3.463,4.0,35.0,8.0,3.9,0,0.012,11,0.5,,,0
2025-10-31,J. MONCAYOLA,7.062,3.0,44.0,50.0,4.4,0,0.123,11,0.5,Libre,-7.21078,1
2025-10-31,L. RIOJA,5.762,3.0,35.0,19.0,3.5,0,-0.068,11,0.5,,,0
2025-10-31,B. DÍAZ,2.098,3.0,19.0,15.0,2.4,0,0.005,11,0.5,,,0
2025-10-31,P. TORRE,1.898,3.0,27.0,408.0,2.7,0,-0.032,11,0.5,Los marinero,-1.898,0
2025-10-31,N. GUDELJ,1.637,3.0,30.0,17.0,3.8,0,0.042,11,0.5,Los marinero,-1.737,3
2025-10-31,A. OSAMBELA,0.16,3.0,10.0,50.0,2.5,0,,11,0.5,,,0
2025-10-31,D. HANCKO,7.358,2.0,40.0,2.0,4.0,0,0.087,11,0.5,Dani,-7.58883,2
2025-10-31,Í. LEKUE,0.206,2.0,2.0,1.0,0.7,2,0.046,11,0.5,Chamacónicos,-0.20601,0
2025-10-31,P. LÓPEZ,5.134,1.0,33.0,4.0,4.7,0,-0.011,11,0.5,Los marinero,-5.684,1
2025-10-31,C. RIVERO,0.16,1.0,0.0,19.0,0.0,0,-0.032,11,0.5,,,0
2025-11-01,P. GARCÍA,0.56,4.0,18.0,4.0,3.0,0,-0.028,12,6.0,Los marinero,-0.58,0
2025-11-01,R. NTEKA,0.16,4.0,6.0,14.0,2.0,0,-0.017,12,6.0,,,0
2025-11-01,A. REINA,1.028,3.0,30.0,1370.0,3.3,0,-0.003,12,6.0,,,0
