type,subtype,mensaje,jugador,de_equipo,a_equipo,precio,posicionJugador,puntosJugador,equipoLiga,name,money,position,aciertos,points,jornada,date,idTransfer
marks,start_mercado,,,,,,,,,,,,,,,2026-08-18,
transfer,mercado,,Pau Navarro,Mister,Libre,2.169,2,0,20,,,,,,,2026-08-18,42172c0fd5580ca20881e21566dbb227
transfer,mercado,,Álvaro García,Mister,Dani,7.54376,3,10,14,,,,,,,2026-08-18,b2e9dbc5df1c1f25ce5676cc8afd77be
transfer,Puja,,Álvaro García,Mister,Chamacónicos,7.446,3,10,14,,,,,,,2026-08-18,9074617a3a2625d7d1584026bf1f66bc
transfer,Puja,,Álvaro García,Mister,Maldinillo 💥,6.86878,3,10,14,,,,,,,2026-08-18,94e5c686dccc17947767cb9309b47ef4
transfer,Puja,,Álvaro García,Mister,Libre,6.846,3,10,14,,,,,,,2026-08-18,54c1d06b75bc17127f971166cc2e959d
transfer,mercado,,Arda Güler,Mister,Maldinillo 💥,15.01176,3,0,15,,,,,,,2026-08-18,5ec674d2827c0d3bab253ee1898ea2d3
transfer,Puja,,Arda Güler,Mister,Chamacónicos,13.709,3,0,15,,,,,,,2026-08-18,8e2fe169415d411f1f4d9954bcace833
transfer,mercado,,Juan Cruz,Mister,Maldinillo 💥,2.84608,3,0,13,,,,,,,2026-08-18,8d9091996d30c339ea1c4584ac7093d1
transfer,Puja,,Juan Cruz,Mister,Dani,2.64817,3,0,13,,,,,,,2026-08-18,37c27482a745a737c927a09be2f318c3
marks,start_mercado,,,,,,,,,,,,,,,2026-08-18,
transfer,mercado,,Abiel Osorio,Dani,Mister,0.5782,4,0,23,,,,,,,2026-08-18,a758d4e851f8f6fbd24c10aa78b1f80b
marks,start_mercado,,,,,,,,,,,,,,,2026-08-18,
transfer,mercado,,Iñigo Ruiz De Galarreta,Maldinillo 💥,Mister,6.18576,3,0,1,,,,,,,2026-08-18,4a42482c9a42b6022b9efccb451c63c2
marks,start_mercado,,,,,,,,,,,,,,,2026-08-18,
transfer,mercado,,Lucas Boyé,Maldinillo 💥,Mister,6.79291,4,0,48,,,,,,,2026-08-18,ea9dbfa78c92d1f57789d00a9293de7d
marks,start_mercado,,,,,,,,,,,,,,,2026-08-18,
transfer,mercado,,Leandro Cabrera,Dani,Mister,9.1476,2.0,0.0,8.0,,,,,,,2026-08-17,60e8257d16ee4cc79663cec986ffad20
marks,start_mercado,,,,,,,,,,,,,,,2026-08-17,
transfer,mercado,,Urko González,Mister,Chamacónicos,1.995,3.0,6.0,8.0,,,,,,,2026-08-17,1c3310365dc800d9b4c1beb8c2f1d1b0
marks,start_mercado,,,,,,,,,,,,,,,2026-08-17,
transfer,mercado,,Adrià Pedrosa,Los marinero,Mister,0.35638,2.0,0.0,17.0,,,,,,,2026-08-16,457506bba6d680ad464ecf68484d74f9
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,Abdoulaye Faye,Los marinero,Mister,1.084,2.0,0.0,5.0,,,,,,,2026-08-16,bd2ab179301051455119c7145b7671e8
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,clausula,,Sergio Martinez,Jotabetrbb,Los marinero,1.0,3.0,11.0,1490.0,,,,,,,2026-08-16,0a80d511cc1456381870523b6ca9bdbb
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,Damián Cáceres,Chamacónicos,Mister,0.1691,3.0,0.0,9.0,,,,,,,2026-08-16,bbe4683ec6be4de2f013aa4b21dca857
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,Saba Sazonov,Chamacónicos,Mister,0.58275,2.0,2.0,9.0,,,,,,,2026-08-16,463d1d8fcb3c6cd41ee71086597c3323
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,José Luis Gayà,Mister,Los marinero,2.37002,2.0,0.0,19.0,,,,,,,2026-08-16,a59975a39c4f38965aba10d42c20ef40
transfer,Puja,,José Luis Gayà,Mister,Chamacónicos,2.17,2.0,0.0,19.0,,,,,,,2026-08-16,00855c86d7c85feb9645ec6a39b1da6c
transfer,mercado,,Dakonam Djené,Mister,Los marinero,2.253,2.0,2.0,9.0,,,,,,,2026-08-16,d3c53507e2172bba22e8bec7bd062e71
transfer,Puja,,Dakonam Djené,Mister,Libre,1.923,2.0,2.0,9.0,,,,,,,2026-08-16,3e0f7f6cf7bf35d4fbe2b356988d8eae
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,Álvaro Djaló,Dani,Mister,0.27248,4.0,0.0,1.0,,,,,,,2026-08-16,d3f7465d6dc2112ceab3acb839a12fd0
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,Jeremy Toljan,Dani,Mister,1.56624,2.0,0.0,12.0,,,,,,,2026-08-16,022627de4dd2ea75c11da85089ffa83f
marks,start_jornada,,,,,,,,,,,,,,1.0,2026-08-16,
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,Miguel Rodríguez,Maldinillo 💥,Mister,1.04624,3.0,0.0,48.0,,,,,,,2026-08-16,a67ccaf933d11f511e9dae5a5d32940c
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,Maguette Gueye,Mister,MuchaSalsa,2.645,3.0,2.0,1490.0,,,,,,,2026-08-16,dba6b3f048a6857cea2a746d0dc81a2f
transfer,Puja,,Maguette Gueye,Mister,Dani,2.12125,3.0,2.0,1490.0,,,,,,,2026-08-16,c6f8afcf3dccfa5ccc728b1176b38d42
transfer,Puja,,Maguette Gueye,Mister,Chamacónicos,1.945,3.0,2.0,1490.0,,,,,,,2026-08-16,8b7775985db33a37dd7de0c2c4c42a63
transfer,mercado,,Borja Mayoral,Mister,MuchaSalsa,2.201,4.0,0.0,9.0,,,,,,,2026-08-16,983b4beab92aea6f53b81b9ff2d174d4
transfer,Puja,,Borja Mayoral,Mister,Maldinillo 💥,1.58161,4.0,0.0,9.0,,,,,,,2026-08-16,6991b7b5d4c93593ab096289bdde8aeb
transfer,mercado,,Justin De Haas,Mister,Chamacónicos,4.336,2.0,0.0,19.0,,,,,,,2026-08-16,6504f01a8f858dae44445242c37ce427
transfer,Puja,,Justin De Haas,Mister,Dani,4.16705,2.0,0.0,19.0,,,,,,,2026-08-16,be561a5e3b9e2d82b32c2ea8d1a2ab00
transfer,mercado,,Lucas Noubi,Mister,Dani,2.2065,2.0,0.0,6.0,,,,,,,2026-08-16,664f09b4d69a748d5e1066daa79d76bc
transfer,Puja,,Lucas Noubi,Mister,Libre,1.873,2.0,0.0,6.0,,,,,,,2026-08-16,791b691e6889b2d7abaae0197dbad1e4
transfer,mercado,,Alejandro Balde,Mister,Maldinillo 💥,6.34581,2.0,0.0,3.0,,,,,,,2026-08-16,9f6360bb9c34d7572a6c264d46e2c519
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
transfer,mercado,,Christantus Uche,MuchaSalsa,Mister,8.26404,4.0,0.0,9.0,,,,,,,2026-08-16,6c377778706edaceb6023135b5536d42
marks,start_mercado,,,,,,,,,,,,,,,2026-08-16,
