fecha,id,type,subtype,equipo,jugador,compra-venta,equipoLiga,ganancias
2026-01-27,0,transfer,mercado,Chamacónicos,Ronald Araújo,venta,3.0,5.14494
2026-01-27,0,bonificacion,quiniela,Chamacónicos,,,,0.4
2026-01-27,0,bonificacion,quiniela,Dani,,,,0.4
2026-01-27,0,bonificacion,quiniela,De la Guettir FC,,,,0.4
2026-01-27,0,bonificacion,quiniela,Los marinero,,,,0.4
2026-01-27,0,bonificacion,quiniela,Maldinillo 💥,,,,0.4
2026-01-27,0,bonificacion,quiniela,Jotabetrbb,,,,0.0
2026-01-27,0,bonificacion,quiniela,Juanba,,,,0.0
2026-01-27,0,bonificacion,quiniela,Libre,,,,0.0
2026-01-27,0,bonificacion,quiniela,MuchaSalsa,,,,0.0
2026-01-27,0,bonificacion,clasificacion,Dani,,,,1.65
2026-01-27,0,bonificacion,clasificacion,Maldinillo 💥,,,,1.74
2026-01-27,0,bonificacion,clasificacion,Libre,,,,1.83
2026-01-27,0,bonificacion,clasificacion,Jotabetrbb,,,,1.89
2026-01-27,0,bonificacion,clasificacion,Chamacónicos,,,,2.17
2026-01-27,0,bonificacion,clasificacion,Los marinero,,,,1.86
2026-01-27,0,bonificacion,clasificacion,MuchaSalsa,,,,2.29
2026-01-27,0,bonificacion,clasificacion,De la Guettir FC,,,,2.08
2026-01-27,0,bonificacion,clasificacion,Juanba,,,,2.22
2026-01-27,0,transfer,clausula,Los marinero,Raúl Asencio,venta,15.0,10.698
2026-01-27,0,transfer,clausula,Jotabetrbb,Raúl Asencio,compra,15.0,-10.698
2026-01-27,0,transfer,mercado,Jotabetrbb,Fernando Calero,venta,8.0,6.04905
2026-01-27,0,marks,start_mercado,Mercado diario,,,,0.0
2026-01-27,0,transfer,mercado,Libre,Álvaro Carreras,compra,15.0,-12.819
2026-01-27,0,transfer,mercado,Dani,José Giménez,compra,2.0,-4.62151
2026-01-27,0,transfer,Puja,Libre,José Giménez,compra,2.0,0.0
2026-01-27,1,transfer,mercado,Libre,Víctor Parada,venta,48.0,0.30846
2026-01-27,1,transfer,mercado,Libre,Pere Milla,venta,8.0,11.46249
2026-01-27,1,transfer,mercado,Jotabetrbb,David Costas,venta,1370.0,3.6211
2026-01-27,1,transfer,mercado,Jotabetrbb,André Almeida,venta,19.0,2.76096
2026-01-27,1,marks,start_mercado,Mercado diario,,,,0.0
2026-01-27,1,transfer,mercado,Jotabetrbb,Daley Blind,compra,222.0,-6.413785
2026-01-27,1,transfer,Puja,Dani,Daley Blind,compra,222.0,0.0
2026-01-27,1,transfer,mercado,Los marinero,Franco Mastantuono,compra,15.0,-3.668005
2026-01-27,1,transfer,Puja,Dani,Franco Mastantuono,compra,15.0,0.0
2026-01-27,2,transfer,mercado,Dani,Jesús Areso,venta,1.0,1.28235
2026-01-27,2,transfer,mercado,Dani,Andoni Gorosabel,venta,1.0,0.21186
2026-01-27,2,transfer,clausula,Los marinero,Filip Ugrinic,venta,19.0,1.266
2026-01-27,2,transfer,clausula,Jotabetrbb,Filip Ugrinic,compra,19.0,-1.266
2026-01-27,2,transfer,mercado,Dani,Grady Diangana,venta,23.0,0.3781
2026-01-27,2,marks,start_mercado,Mercado diario,,,,0.0
2026-01-27,2,transfer,mercado,Libre,Dani Parejo,compra,20.0,-3.301
2026-01-27,2,transfer,mercado,Los marinero,Héctor Bellerín,compra,4.0,-2.569
2026-01-27,3,marks,start_jornada,21.0,,,,0.0
2026-01-27,3,transfer,acuerdo,Dani,Georges Mikautadze,venta,20.0,11.619
2026-01-27,3,transfer,acuerdo,Libre,Georges Mikautadze,compra,20.0,-11.619
2026-01-27,3,marks,start_mercado,Mercado diario,,,,0.0
2026-01-27,3,transfer,mercado,Los marinero,Mario Martín,compra,9.0,-1.293
2026-01-27,3,transfer,Puja,Dani,Mario Martín,compra,9.0,0.0
2026-01-27,3,transfer,mercado,Dani,Jesús Areso,compra,1.0,-1.24311
2026-01-27,3,transfer,Puja,Los marinero,Jesús Areso,compra,1.0,0.0
2026-01-27,3,transfer,mercado,Dani,Federico Viñas,compra,1370.0,-1.04594
2026-01-27,3,transfer,Puja,Libre,Federico Viñas,compra,1370.0,0.0
2026-01-27,3,transfer,Puja,Maldinillo 💥,Federico Viñas,compra,1370.0,0.0
2026-01-27,4,transfer,mercado,Libre,Aurélien Tchouaméni,venta,15.0,15.78096
2026-01-22,4,transfer,mercado,Dani,Arnau Martínez,venta,222.0,4.62985
2026-01-22,4,marks,start_mercado,Mercado diario,,,,0.0
2026-01-22,4,transfer,mercado,Libre,Yuri Berchiche,compra,1.0,-2.80301
2026-01-22,4,transfer,mercado,Libre,Iker Losada,compra,12.0,-0.90701
2026-01-22,4,transfer,mercado,Chamacónicos,Etta Eyong,compra,12.0,-13.949
2026-01-22,4,transfer,Puja,Los marinero,Etta Eyong,compra,12.0,0.0
2026-01-22,5,transfer,mercado,Libre,Juan Foyth,venta,20.0,10.2816
2026-01-22,5,transfer,mercado,Los marinero,Carlos Soler,venta,16.0,8.70792
2026-01-22,5,marks,start_mercado,Mercado diario,,,,0.0
2026-01-21,5,transfer,mercado,De la Guettir FC,Carlos Martín,compra,14.0,-1.373
2026-01-21,5,transfer,mercado,Los marinero,Óscar Mingueza,compra,5.0,-10.559
2026-01-21,5,transfer,mercado,Dani,Grady Diangana,compra,23.0,-0.32115
2026-01-21,5,transfer,Puja,Libre,Grady Diangana,compra,23.0,0.0
2026-01-21,6,transfer,mercado,Libre,Kiko Femenía,venta,9.0,0.5661
2026-01-21,6,transfer,mercado,Libre,Alan Matturro,venta,12.0,0.1617
2026-01-21,6,bonificacion,quiniela,Libre,,,,0.5
2026-01-21,6,bonificacion,quiniela,Chamacónicos,,,,0.4
2026-01-21,6,bonificacion,quiniela,Dani,,,,0.4
2026-01-21,6,bonificacion,quiniela,Maldinillo 💥,,,,0.4
2026-01-21,6,bonificacion,quiniela,De la Guettir FC,,,,0.3
2026-01-21,6,bonificacion,quiniela,Los marinero,,,,0.3
2026-01-21,6,bonificacion,quiniela,Jotabetrbb,,,,0.0
2026-01-21,6,bonificacion,quiniela,Juanba,,,,0.0
2026-01-21,6,bonificacion,quiniela,MuchaSalsa,,,,0.0
2026-01-21,6,bonificacion,clasificacion,Chamacónicos,,,,2.16
2026-01-21,6,bonificacion,clasificacion,Los marinero,,,,1.71
2026-01-21,6,bonificacion,clasificacion,Maldinillo 💥,,,,1.77
2026-01-21,6,bonificacion,clasificacion,Libre,,,,2.07
2026-01-21,6,bonificacion,clasificacion,Dani,,,,1.9
2026-01-21,6,bonificacion,clasificacion,De la Guettir FC,,,,2.25
2026-01-21,6,bonificacion,clasificacion,Jotabetrbb,,,,2.16
2026-01-21,6,bonificacion,clasificacion,Juanba,,,,2.26
2026-01-21,6,bonificacion,clasificacion,MuchaSalsa,,,,1.94
2026-01-21,6,marks,start_mercado,Mercado diario,,,,0.0
2026-01-20,6,transfer,mercado,Libre,Rubén García,compra,50.0,-6.48202
2026-01-20,6,transfer,mercado,Libre,Hugo Álvarez,compra,5.0,-0.45002
2026-01-20,6,transfer,mercado,Chamacónicos,Ronald Araújo,compra,3.0,-4.388
2026-01-20,6,transfer,Puja,Dani,Ronald Araújo,compra,3.0,0.0
2026-01-20,6,transfer,Puja,Libre,Ronald Araújo,compra,3.0,0.0
2026-01-20,6,transfer,mercado,Dani,Victor Muñoz,compra,50.0,-10.17924
2026-01-20,7,transfer,mercado,Libre,Iván Balliu,venta,14.0,0.36225
2026-01-20,7,transfer,mercado,Los marinero,Sergi Cardona,venta,20.0,2.76547
2026-01-19,7,transfer,mercado,Dani,Mateu Morey,venta,408.0,0.168
2026-01-19,7,transfer,mercado,Dani,Cédric Bakambu,venta,4.0,0.40964
2026-01-19,7,marks,start_mercado,Mercado diario,,,,0.0
2026-01-19,7,transfer,mercado,Libre,Juan Foyth,compra,20.0,-11.06023
2026-01-19,7,transfer,Puja,Chamacónicos,Juan Foyth,compra,20.0,0.0
2026-01-19,7,transfer,Puja,Dani,Juan Foyth,compra,20.0,0.0
2026-01-19,7,transfer,mercado,Jotabetrbb,Rodrygo,compra,15.0,-12.225
2026-01-19,7,transfer,Puja,Maldinillo 💥,Rodrygo,compra,15.0,0.0
2026-01-19,7,transfer,mercado,Los marinero,Filip Ugrinic,compra,19.0,-0.65
2026-01-19,7,transfer,Puja,Libre,Filip Ugrinic,compra,19.0,0.0
2026-01-19,7,transfer,mercado,Dani,Andoni Gorosabel,compra,1.0,-0.25366
2026-01-19,8,transfer,mercado,Chamacónicos,Nobel Mendy,venta,14.0,5.6175
2026-01-19,8,transfer,mercado,Chamacónicos,Antonio Rüdiger,venta,15.0,6.003
2026-01-19,8,transfer,mercado,Jotabetrbb,Ayoze Pérez,venta,20.0,11.06859
2026-01-19,8,marks,start_mercado,Mercado diario,,,,0.0
2026-01-18,8,transfer,mercado,Chamacónicos,Flavien Boyomo,compra,50.0,-5.09
2026-01-18,8,transfer,Puja,Dani,Flavien Boyomo,compra,50.0,0.0
2026-01-18,8,transfer,Puja,Maldinillo 💥,Flavien Boyomo,compra,50.0,0.0
2026-01-18,8,transfer,mercado,Dani,Arnau Martínez,compra,222.0,-4.24136
2026-01-18,9,transfer,mercado,Libre,Adrián San Miguel,venta,4.0,0.1764
2026-01-18,9,marks,start_mercado,Mercado diario,,,,0.0
2026-01-17,9,transfer,mercado,Libre,Jorge Herrando,compra,50.0,-1.06002
2026-01-17,9,transfer,mercado,Libre,Kiko Femenía,compra,9.0,-0.53502
2026-01-17,10,transfer,clausula,Dani,Umar Sadiq,venta,19.0,1.4169
2026-01-17,10,transfer,clausula,Jotabetrbb,Umar Sadiq,compra,19.0,-1.4169
2026-01-17,10,marks,start_jornada,20.0,,,,0.0
2026-01-17,10,transfer,mercado,Libre,Mathew Ryan,venta,12.0,9.1238
2026-01-17,10,transfer,mercado,Libre,Joan Garcia,venta,3.0,15.15936
2026-01-17,10,transfer,mercado,Libre,Giacomo Raspadori,venta,0.0,0.16968
2026-01-17,10,transfer,mercado,Libre,Kike Barja,venta,50.0,0.16583
2026-01-17,10,transfer,mercado,Dani,Daley Blind,venta,222.0,4.07939
2026-01-17,10,transfer,mercado,Dani,José Giménez,venta,2.0,4.22918
2026-01-17,10,transfer,mercado,Dani,Alejandro Balde,venta,3.0,12.05536
2026-01-17,10,marks,start_mercado,Mercado diario,,,,0.0
2026-01-16,10,transfer,mercado,Dani,Georges Mikautadze,compra,20.0,-14.127603
2026-01-16,10,transfer,Puja,Chamacónicos,Georges Mikautadze,compra,20.0,0.0
2026-01-16,10,transfer,mercado,Dani,João Cancelo,compra,3.0,-3.11993
2026-01-16,10,transfer,mercado,Dani,Mateu Morey,compra,408.0,-0.22321
2026-01-16,11,transfer,clausula,De la Guettir FC,Thomas Lemar,venta,222.0,1.0
2026-01-16,11,transfer,clausula,Los marinero,Thomas Lemar,compra,222.0,-1.0
2026-01-15,11,transfer,mercado,Jotabetrbb,Rubén Vargas,venta,17.0,7.70165
2026-01-15,11,marks,start_mercado,Mercado diario,,,,0.0
2026-01-15,11,transfer,mercado,Libre,Joan Garcia,compra,3.0,-15.75408
2026-01-15,11,transfer,mercado,Chamacónicos,Mikel Jauregizar,compra,1.0,-5.964
2026-01-15,11,transfer,mercado,Chamacónicos,Juan Iglesias,compra,9.0,-2.38
2026-01-15,11,transfer,mercado,Dani,Umar Sadiq,compra,19.0,-0.9446
2026-01-15,11,transfer,Puja,Los marinero,Umar Sadiq,compra,19.0,0.0
2026-01-15,12,transfer,mercado,Dani,Alejandro Catena,venta,50.0,11.30631
2026-01-15,12,transfer,mercado,Jotabetrbb,Nico González,venta,2.0,6.32196
2026-01-15,12,marks,start_mercado,Mercado diario,,,,0.0
2026-01-14,12,transfer,mercado,Los marinero,Sergi Cardona,compra,20.0,-3.122
2026-01-14,12,transfer,mercado,Dani,Santiago Mouriño,compra,20.0,-7.35536
2026-01-14,13,bonificacion,quiniela,De la Guettir FC,,,,0.6
2026-01-14,13,bonificacion,quiniela,Dani,,,,0.5
2026-01-14,13,bonificacion,quiniela,Los marinero,,,,0.5
2026-01-14,13,bonificacion,quiniela,Maldinillo 💥,,,,0.5
2026-01-14,13,bonificacion,quiniela,Chamacónicos,,,,0.4
2026-01-14,13,bonificacion,quiniela,Jotabetrbb,,,,0.2
