fecha,subtype,equipo,jugador,equipoLiga,Diff
2026-01-15,mercado,Jotabetrbb,Rubén Vargas,17.0,-1.6103499999999995
2026-01-15,mercado,Dani,Alejandro Catena,50.0,0.8047199999999997
2026-01-15,mercado,Jotabetrbb,Nico González,2.0,-0.9030399999999998
2026-01-13,mercado,Maldinillo 💥,Álex Berenguer,1.0,0.44284999999999997
2026-01-13,mercado,Los marinero,Thierry Correia,19.0,-0.8684499999999999
2026-01-12,mercado,Maldinillo 💥,Víctor García,12.0,0.023049999999999987
2026-01-12,mercado,Dani,Santi Comesaña,20.0,2.9332899999999995
2026-01-12,mercado,Jotabetrbb,Batista Mendy,17.0,-0.6978
2026-01-11,mercado,Jotabetrbb,Conor Gallagher,2.0,0.11709999999999998
2026-01-10,mercado,Libre,Alexis Sánchez,17.0,-0.24551999999999996
2026-01-10,mercado,Maldinillo 💥,Marcus Rashford,3.0,-0.44169000000000125
2026-01-10,mercado,Maldinillo 💥,Ante Budimir,50.0,0.41005
2026-01-09,mercado,Dani,Hugo Duro,19.0,0.433720000000001
2026-01-08,mercado,Jotabetrbb,Luis Rioja,19.0,-0.05414999999999992
2026-01-07,mercado,Dani,Martin Valjent,408.0,1.6867300000000003
2026-01-06,mercado,Maldinillo 💥,Iñaki Williams,1.0,-0.5302899999999999
2026-01-06,mercado,Maldinillo 💥,Kike García,8.0,0.76356
2026-01-06,acuerdo,Chamacónicos,Raúl Asencio,15.0,-0.5830000000000002
2026-01-06,mercado,Chamacónicos,Javi Rueda,5.0,2.0282
2026-01-06,mercado,Chamacónicos,Antonio Blanco,48.0,1.1959199999999992
2026-01-05,mercado,Jotabetrbb,Filip Ugrinic,19.0,0.13080000000000003
2026-01-05,mercado,Los marinero,José Luis Gayà,19.0,-0.8437900000000003
2026-01-05,mercado,Los marinero,César Azpilicueta,17.0,-1.1503700000000001
2026-01-05,mercado,Dani,José Copete,19.0,1.3335899999999998
2026-01-05,mercado,Maldinillo 💥,Luiz Júnior,20.0,2.2564400000000004
2026-01-05,mercado,Maldinillo 💥,Matteo Ruggeri,2.0,-0.21957000000000004
2026-01-04,mercado,Dani,Jorge Cabello,12.0,-0.007739999999999997
2026-01-04,mercado,Dani,Yvan Neyou,9.0,-0.006400000000000017
2026-01-04,mercado,Dani,John Donald,23.0,0.008819999999999995
2026-01-04,mercado,Dani,Allan Nyom,9.0,-0.028319999999999984
2026-01-03,mercado,Libre,Arnau Martínez,222.0,-1.1014650000000001
2026-01-03,mercado,Libre,Mauro Arambarri,9.0,2.063460000000001
2026-01-03,mercado,Los marinero,Hector Fort,23.0,0.10720000000000018
2026-01-03,mercado,Maldinillo 💥,Isco,4.0,-5.2173099999999994
2026-01-02,mercado,Los marinero,Gabriel Suazo,17.0,-1.42815
2026-01-01,clausula,Jotabetrbb,César Azpilicueta,17.0,0.7000000000000002
2025-12-31,clausula,Dani,Thierry Correia,19.0,0.8305899999999999
2025-12-30,mercado,Maldinillo 💥,Mikel Jauregizar,1.0,0.21572000000000013
2025-12-30,clausula,Chamacónicos,Gabriel Suazo,17.0,2.378
2025-12-30,mercado,Los marinero,Oihan Sancet,1.0,-0.17813999999999997
2025-12-30,clausula,MuchaSalsa,Koke,2.0,10.441001
2025-12-29,mercado,Maldinillo 💥,Alexander Sørloth,2.0,0.23741000000000057
2025-12-29,mercado,Maldinillo 💥,Ander Barrenetxea,16.0,0.4164300000000001
2025-12-29,mercado,Los marinero,Dávid Hancko,2.0,-0.2777600000000007
2025-12-28,clausula,Maldinillo 💥,Pedri,3.0,30.14751
2025-12-28,clausula,Los marinero,Lamine Yamal,3.0,15.516855
2025-12-28,mercado,Maldinillo 💥,Robert Lewandowski,3.0,0.624130000000001
2025-12-27,mercado,Maldinillo 💥,Abel Bretones,50.0,-0.10221999999999998
2025-12-27,mercado,Dani,Marko Dmitrović,8.0,0.3714999999999993
2025-12-26,mercado,Jotabetrbb,Iván Martín,222.0,1.6669999999999998
