id,type,subtype,equipo,jugador,compra-venta,ganancias
0,transfer,mercado,Libre,Álex Moreno,venta,3176750
0,transfer,mercado,Libre,Antoine Griezmann,venta,10445820
0,transfer,mercado,Jotabetrbb,Valentín Gómez,venta,1754400
0,transfer,mercado,De la Guettir FC,Jon Pacheco,venta,1650360
0,marks,start_mercado,Mercado diario,,,0
0,transfer,mercado,Libre,Marcus Rashford,compra,-13256330
0,transfer,mercado,Libre,Mathew Ryan,compra,-6671319
0,transfer,mercado,Libre,Filip Ugrinic,compra,-206040
0,transfer,mercado,Libre,Víctor Parada,compra,-184000
0,transfer,mercado,MuchaSalsa,Vitor Reis,compra,-2235000
1,transfer,mercado,Libre,Kike Barja,venta,169050
1,transfer,mercado,Jotabetrbb,Arnau Tenas,venta,1892100
1,bonificacion,quiniela,Maldinillo 💥,,,600000
1,bonificacion,quiniela,Dani,,,500000
1,bonificacion,quiniela,Libre,,,400000
1,bonificacion,quiniela,Los marinero,,,400000
1,bonificacion,quiniela,MuchaSalsa,,,400000
1,bonificacion,quiniela,Chamacónicos,,,300000
1,bonificacion,quiniela,De la Guettir FC,,,300000
1,bonificacion,quiniela,Jotabetrbb,,,200000
1,bonificacion,quiniela,Juanba,,,200000
1,bonificacion,clasificacion,Maldinillo 💥,,,1860000
1,bonificacion,clasificacion,Los marinero,,,1420000
1,bonificacion,clasificacion,Chamacónicos,,,1750000
1,bonificacion,clasificacion,Libre,,,1990000
1,bonificacion,clasificacion,De la Guettir FC,,,1990000
1,bonificacion,clasificacion,MuchaSalsa,,,2170000
1,bonificacion,clasificacion,Dani,,,2100000
1,bonificacion,clasificacion,Juanba,,,2120000
1,bonificacion,clasificacion,Jotabetrbb,,,2240000
1,transfer,mercado,Maldinillo 💥,Alexis Sánchez,venta,5878950
1,marks,start_mercado,Mercado diario,,,0
1,transfer,mercado,Libre,Yuri Berchiche,compra,-6099000
1,transfer,mercado,Maldinillo 💥,Beñat Turrientes,compra,-252310
2,transfer,mercado,Libre,Hugo Rincón,venta,1049360
2,transfer,mercado,De la Guettir FC,Andreas Christensen,venta,3739840
2,transfer,mercado,Libre,Igor Zubeldia,venta,4773000
2,transfer,mercado,Maldinillo 💥,Oihan Sancet,venta,10486350
2,transfer,mercado,De la Guettir FC,Franco Mastantuono,venta,9978000
2,marks,start_mercado,Mercado diario,,,0
2,transfer,mercado,De la Guettir FC,Germán Valera,compra,-10699999
2,transfer,mercado,De la Guettir FC,Calebe Gonçalves,compra,-344050
2,transfer,mercado,Dani,Marc Bartra,compra,-8000390
2,transfer,mercado,Maldinillo 💥,Robert Lewandowski,compra,-17151870
3,transfer,acuerdo,Los marinero,Álex Moreno,venta,3400000
3,transfer,acuerdo,Libre,Álex Moreno,compra,-3400000
3,marks,start_mercado,Mercado diario,,,0
3,transfer,mercado,Los marinero,Daniel Vivian,compra,-6839000
4,transfer,mercado,Libre,Gabriel Suazo,venta,5934240
4,transfer,mercado,Libre,Logan Costa,venta,208000
4,transfer,mercado,Dani,Omar Falah,venta,153600
4,transfer,mercado,Dani,David López,venta,205800
4,transfer,mercado,Dani,Aritz Elustondo,venta,176400
4,marks,start_mercado,Mercado diario,,,0
4,transfer,mercado,Jotabetrbb,Jan Oblak,compra,-9040000
4,transfer,mercado,Chamacónicos,Sergio Carreira,compra,-700000
4,transfer,mercado,Dani,Iván Martín,compra,-1645460
5,marks,start_jornada,10.0,,,0
5,transfer,acuerdo,Chamacónicos,Marc Roca,venta,2700000
5,transfer,acuerdo,Jotabetrbb,Marc Roca,compra,-2700000
5,transfer,acuerdo,Chamacónicos,Eduardo Camavinga,venta,6000000
5,transfer,acuerdo,Jotabetrbb,Eduardo Camavinga,compra,-6000000
5,transfer,mercado,MuchaSalsa,Sergi Altimira,venta,8751650
5,transfer,mercado,Maldinillo 💥,Iago Aspas,venta,9644000
5,marks,start_mercado,Mercado diario,,,0
5,transfer,mercado,Libre,Igor Zubeldia,compra,-5037060
5,transfer,mercado,MuchaSalsa,Pedro Bigas,compra,-7302000
5,transfer,mercado,Dani,Aritz Elustondo,compra,-372530
5,transfer,mercado,Dani,Omar Falah,compra,-237470
5,transfer,mercado,Dani,David López,compra,-214890
5,transfer,mercado,Maldinillo 💥,Oihan Sancet,compra,-10132070
6,transfer,clausula,Jotabetrbb,Marc Roca,venta,2127000
6,transfer,clausula,Chamacónicos,Marc Roca,compra,-2127000
6,transfer,clausula,Dani,José Copete,venta,1226565
6,transfer,clausula,Los marinero,José Copete,compra,-1226565
6,transfer,clausula,MuchaSalsa,Cristian Portu,venta,1371000
6,transfer,clausula,Dani,Cristian Portu,compra,-1371000
6,marks,start_mercado,Mercado diario,,,0
6,transfer,mercado,Chamacónicos,Viktor Tsygankov,compra,-3434343
6,transfer,mercado,Chamacónicos,Nobel Mendy,compra,-888000
6,transfer,mercado,Dani,Antonio Raíllo,compra,-6301520
7,transfer,mercado,Maldinillo 💥,Unai López,venta,5330850
7,transfer,mercado,Maldinillo 💥,Tyrhys Dolan,venta,7455000
7,transfer,mercado,Libre,Iker Losada,venta,191360
7,marks,start_mercado,Mercado diario,,,0
7,transfer,mercado,Libre,Pol Lozano,compra,-3850558
7,transfer,mercado,Maldinillo 💥,Nico Williams,compra,-15278590
8,transfer,clausula,Chamacónicos,Koke,venta,6499999
8,transfer,clausula,MuchaSalsa,Koke,compra,-6499999
8,bonificacion,quiniela,Dani,,,700000
8,bonificacion,quiniela,De la Guettir FC,,,700000
8,bonificacion,quiniela,Juanba,,,500000
8,bonificacion,quiniela,Libre,,,500000
8,bonificacion,quiniela,Los marinero,,,500000
8,bonificacion,quiniela,Maldinillo 💥,,,500000
8,bonificacion,quiniela,Chamacónicos,,,300000
8,bonificacion,quiniela,Jotabetrbb,,,0
8,bonificacion,quiniela,MuchaSalsa,,,0
8,bonificacion,clasificacion,Dani,,,1650000
8,bonificacion,clasificacion,Maldinillo 💥,,,1780000
8,bonificacion,clasificacion,Juanba,,,1580000
8,bonificacion,clasificacion,De la Guettir FC,,,1990000
8,bonificacion,clasificacion,Jotabetrbb,,,1820000
8,bonificacion,clasificacion,Chamacónicos,,,1900000
8,bonificacion,clasificacion,Libre,,,2190000
8,bonificacion,clasificacion,Los marinero,,,2200000
8,bonificacion,clasificacion,MuchaSalsa,,,2320000
8,transfer,mercado,Maldinillo 💥,Gorka Guruzeta,venta,2364880
8,transfer,mercado,Jotabetrbb,César Azpilicueta,venta,3465960
8,transfer,mercado,Maldinillo 💥,Carlos Álvarez,venta,7551440
8,transfer,mercado,De la Guettir FC,Marc Bernal,venta,907000
8,transfer,mercado,De la Guettir FC,David Costas,venta,183600
8,transfer,mercado,Los marinero,Batista Mendy,venta,4275440
8,marks,start_mercado,Mercado diario,,,0
8,transfer,mercado,Libre,Logan Costa,compra,-203050
8,transfer,mercado,Libre,Iker Losada,compra,-189060
8,transfer,mercado,De la Guettir FC,Adrián de la Fuente,compra,-3411120
8,transfer,mercado,Los marinero,Carlos Soler,compra,-5885000
8,transfer,mercado,Maldinillo 💥,Iago Aspas,compra,-9856900
9,transfer,mercado,Libre,Luis Rioja,venta,7247100
9,transfer,mercado,Los marinero,Ricardo Rodríguez,venta,1096920
9,transfer,mercado,Dani,Roger Brugué,venta,885770
9,transfer,mercado,Dani,Manu Sánchez,venta,5165450
9,transfer,mercado,Libre,Dani Ceballos,venta,4769440
9,bajadaclausula,,Libre,Youssef Enríquez,,0
9,marks,start_jornada,9.0,,,0
9,transfer,mercado,Libre,Johan Mojica,venta,5875750
9,transfer,mercado,Libre,Matías Moreno,venta,1143660
9,transfer,mercado,Libre,Adrián de la Fuente,venta,3188850
9,transfer,mercado,Libre,Igor Zubeldia,venta,4621610
9,transfer,mercado,Dani,Jeremy Toljan,venta,5241670
9,bajadaclausula,,MuchaSalsa,Álvaro Núñez,,0
9,marks,start_mercado,Mercado diario,,,0
9,transfer,mercado,Libre,Dani Ceballos,compra,-4950000
9,transfer,mercado,Maldinillo 💥,Alexis Sánchez,compra,-6666669
10,transfer,acuerdo,Maldinillo 💥,Samuel Costa,venta,4000000
10,transfer,acuerdo,Libre,Samuel Costa,compra,-4000000
10,transfer,acuerdo,Maldinillo 💥,Jon Gorrotxategi,venta,3400000
10,transfer,acuerdo,Libre,Jon Gorrotxategi,compra,-3400000
10,transfer,mercado,Dani,Omar El Hilali,venta,7543920
10,transfer,mercado,Libre,David López,venta,167580
10,marks,start_mercado,Mercado diario,,,0
10,transfer,mercado,Libre,Alejandro Rego,compra,-576040
10,transfer,mercado,Dani,Manu Sánchez,compra,-5536750
11,transfer,mercado,Dani,Aitor Paredes,venta,7359350
11,transfer,mercado,Chamacónicos,Pere Milla,venta,6121610
11,transfer,mercado,Chamacónicos,Haissem Hassan,venta,6274320
11,marks,start_mercado,Mercado diario,,,0
11,transfer,mercado,Libre,Roony Bardghji,compra,-2141080
11,transfer,mercado,Dani,Edu Expósito,compra,-11721280
11,transfer,mercado,Dani,José Copete,compra,-817710
11,transfer,mercado,Maldinillo 💥,Federico Viñas,compra,-162000
12,transfer,mercado,Libre,Manu Morlanes,venta,862050
12,transfer,mercado,Libre,Toni Lato,venta,176800
12,transfer,mercado,Jotabetrbb,Jorge Cabello,venta,163000
12,transfer,clausula,Jotabetrbb,Thierry Correia,venta,1000000
12,transfer,clausula,Los marinero,Thierry Correia,compra,-1000000
12,transfer,acuerdo,Los marinero,Tyrhys Dolan,venta,8000000
12,transfer,acuerdo,Maldinillo 💥,Tyrhys Dolan,compra,-8000000
12,transfer,mercado,Maldinillo 💥,Alberto Moleiro,venta,7028700
12,marks,start_mercado,Mercado diario,,,0
12,transfer,mercado,Libre,Igor Zubeldia,compra,-4516850
12,transfer,mercado,Los marinero,Óscar Valentín,compra,-1456000
12,transfer,mercado,Dani,Roger Brugué,compra,-988900
13,transfer,mercado,Chamacónicos,Antonio Blanco,venta,6415000
13,transfer,mercado,Los marinero,Jorge de Frutos,venta,10035800
13,transfer,mercado,Libre,Álex Moreno,venta,3176750
13,transfer,mercado,Libre,Antoine Griezmann,venta,10445820
13,transfer,mercado,Jotabetrbb,Valentín Gómez,venta,1754400
13,transfer,mercado,De la Guettir FC,Jon Pacheco,venta,1650360
13,marks,start_mercado,Mercado diario,,,0
13,transfer,mercado,Libre,Marcus Rashford,compra,-13256330
13,transfer,mercado,Libre,Mathew Ryan,compra,-6671319
13,transfer,mercado,Libre,Filip Ugrinic,compra,-206040
13,transfer,mercado,Libre,Víctor Parada,compra,-184000
13,transfer,mercado,MuchaSalsa,Vitor Reis,compra,-2235000
14,transfer,mercado,Libre,Kike Barja,venta,169050
14,transfer,mercado,Jotabetrbb,Arnau Tenas,venta,1892100
14,bonificacion,quiniela,Maldinillo 💥,,,600000
14,bonificacion,quiniela,Dani,,,500000
14,bonificacion,quiniela,Libre,,,400000
14,bonificacion,quiniela,Los marinero,,,400000
14,bonificacion,quiniela,MuchaSalsa,,,400000
14,bonificacion,quiniela,Chamacónicos,,,300000
14,bonificacion,quiniela,De la Guettir FC,,,300000
14,bonificacion,quiniela,Jotabetrbb,,,200000
14,bonificacion,quiniela,Juanba,,,200000
14,bonificacion,clasificacion,Maldinillo 💥,,,1860000
14,bonificacion,clasificacion,Los marinero,,,1420000
14,bonificacion,clasificacion,Chamacónicos,,,1750000
14,bonificacion,clasificacion,Libre,,,1990000
14,bonificacion,clasificacion,De la Guettir FC,,,1990000
14,bonificacion,clasificacion,MuchaSalsa,,,2170000
14,bonificacion,clasificacion,Dani,,,2100000
14,bonificacion,clasificacion,Juanba,,,2120000
14,bonificacion,clasificacion,Jotabetrbb,,,2240000
14,transfer,mercado,Maldinillo 💥,Alexis Sánchez,venta,5878950
14,marks,start_mercado,Mercado diario,,,0
14,transfer,mercado,Libre,Yuri Berchiche,compra,-6099000
14,transfer,mercado,Maldinillo 💥,Beñat Turrientes,compra,-252310
15,transfer,mercado,Libre,Hugo Rincón,venta,1049360
15,transfer,mercado,De la Guettir FC,Andreas Christensen,venta,3739840
15,transfer,mercado,Libre,Igor Zubeldia,venta,4773000
15,transfer,mercado,Maldinillo 💥,Oihan Sancet,venta,10486350
15,transfer,mercado,De la Guettir FC,Franco Mastantuono,venta,9978000
15,marks,start_mercado,Mercado diario,,,0
15,transfer,mercado,De la Guettir FC,Germán Valera,compra,-10699999
15,transfer,mercado,De la Guettir FC,Calebe Gonçalves,compra,-344050
15,transfer,mercado,Dani,Marc Bartra,compra,-8000390
15,transfer,mercado,Maldinillo 💥,Robert Lewandowski,compra,-17151870
16,transfer,acuerdo,Los marinero,Álex Moreno,venta,3400000
16,transfer,acuerdo,Libre,Álex Moreno,compra,-3400000
