date,jornada,detalles
2025-10-29,11,Empieza en 2 días
2025-10-30,11,Empieza en 1 día
2025-10-31,11,Empieza en 1h 16m
2025-11-01,11,En juego
2025-11-01,12,Empieza en 6 días
2025-11-02,11,En juego
2025-11-02,12,Empieza en 5 días
2025-11-03,11,En juego
2025-11-03,12,Empieza en 4 días
2025-11-04,11,Finalizada
2025-11-04,12,Empieza en 3 días
2025-11-05,12,Empieza en 2 días
2025-11-06,12,Empieza en 1 día
2025-11-07,12,Empieza en 12h 41m
2025-11-08,12,En juego
2025-11-08,13,Empieza en 13 días
2025-11-09,12,En juego
2025-11-09,13,Empieza en 12 días
2025-11-10,12,Finalizada
2025-11-10,13,Empieza en 11 días
2025-11-11,13,Empieza en 10 días
2025-11-12,13,Empieza en 9 días
2025-11-13,13,Empieza en 8 días
2025-11-14,13,Empieza en 7 días
2025-11-15,13,Empieza en 6 días
2025-11-16,13,Empieza en 5 días
2025-11-17,13,Empieza en 4 días
2025-11-18,13,Empieza en 3 días
2025-11-19,13,Empieza en 2 días
2025-11-20,13,Empieza en 1 día
2025-11-21,13,Empieza en 12h 40m
2025-11-22,13,En juego
2025-11-22,14,Empieza en 6 días
2025-11-23,13,En juego
2025-11-23,14,Empieza en 5 días
2025-11-24,13,En juego
2025-11-24,14,Empieza en 4 días
2025-11-25,13,Finalizada
2025-11-25,14,Empieza en 3 días
2025-11-26,14,Empieza en 2 días
2025-11-27,14,Empieza en 1 día
2025-11-28,14,Empieza en 12h 40m
2025-11-29,14,En juego
2025-11-29,19,Empieza en 3 días
2025-11-30,14,En juego
2025-11-30,19,Empieza en 2 días
2025-12-01,14,En juego
2025-12-01,19,Empieza en 1 día
2025-12-02,14,Finalizada
2025-12-02,19,Empieza en 12h 38m
2025-12-03,19,En juego
2025-12-03,15,Empieza en 2 días
2025-12-04,15,Empieza en 1 día
2025-12-05,15,Empieza en 12h 39m
2025-12-06,15,En juego
2025-12-06,16,Empieza en 6 días
2025-12-07,15,En juego
2025-12-07,16,Empieza en 5 días
2025-12-08,15,En juego
2025-12-08,16,Empieza en 4 días
2025-12-09,15,Finalizada
2025-12-09,16,Empieza en 3 días
2025-12-10,16,Empieza en 2 días
2025-12-11,16,Empieza en 1 día
2025-12-12,16,Empieza en 12h 37m
2025-12-13,16,En juego
2025-12-13,17,Empieza en 6 días
2025-12-14,16,En juego
2025-12-14,17,Empieza en 5 días
2025-12-15,16,En juego
2025-12-15,17,Empieza en 4 días
2025-12-16,16,Aplazada
2025-12-16,17,Empieza en 3 días
2025-12-17,17,Empieza en 2 días
2025-12-18,17,Empieza en 1 día
2025-12-19,17,Empieza en 12h 39m
2025-12-20,17,En juego
2025-12-20,18,Empieza en 13 días
2025-12-21,17,En juego
2025-12-21,18,Empieza en 12 días
2025-12-22,17,En juego
2025-12-22,18,Empieza en 11 días
2025-12-23,18,Empieza en 10 días
2025-12-24,18,Empieza en 9 días
2025-12-25,18,Empieza en 8 días
2025-12-26,18,Empieza en 7 días
2025-12-27,18,Empieza en 6 días
2025-12-28,18,Empieza en 5 días
2025-12-29,18,Empieza en 4 días
2025-12-30,18,Empieza en 3 días
2025-12-31,18,Empieza en 2 días
2026-01-01,18,Empieza en 1 día
2026-01-02,18,Empieza en 12h 36m
2026-01-03,18,En juego
2026-01-03,20,Empieza en 13 días
2026-01-04,18,En juego
2026-01-04,20,Empieza en 12 días
2026-01-05,18,Finalizada
2026-01-05,19,Continúa en 4 días
2026-01-05,20,Empieza en 11 días
2026-01-06,19,Continúa en 3 días
2026-01-06,20,Empieza en 10 días
2026-01-07,19,Continúa en 2 días
2026-01-07,20,Empieza en 9 días
2026-01-08,19,En juego
2026-01-08,20,Empieza en 8 días
2026-01-09,19,En juego
2026-01-09,20,Empieza en 7 días
2026-01-10,19,En juego
2026-01-10,20,Empieza en 6 días
2026-01-11,19,En juego
2026-01-11,20,Empieza en 5 días
2026-01-12,19,En juego
2026-01-12,20,Empieza en 4 días
2026-01-13,19,Finalizada
2026-01-13,20,Empieza en 3 días
2026-01-14,20,Empieza en 2 días
2026-01-15,20,Empieza en 1 día
2026-01-16,20,Empieza en 12h 34m
2026-01-17,20,En juego
2026-01-17,21,Empieza en 6 días
2026-01-18,20,En juego
2026-01-18,21,Empieza en 5 días
2026-01-19,20,En juego
2026-01-19,21,Empieza en 4 días
2026-01-20,20,Finalizada
2026-01-20,21,Empieza en 3 días
